COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
FJ,16394,1507,10430,5195,5964,3344,140494068.17128218,126188773.39266893,0.01852286049237983587,0.02732582394659991656
FK,20183,1785,9958,3300,10225,6977,180150481.17722836,299710199.94161720,0.12067836563645887899,0.09659493970205722393
FM,1903,226,1645,845,258,206,21291992.853389385181,28608100.475737392959,0.01240694789081885856,0.00990099009900990099
FO,9742,603,2891,1823,6851,4788,253412796.38677890,253037226.92482227,0.01525469899210024516,0.01579255215441606551
FR,760844,23035,156185,78951,604659,633046,354549010.78486523,465073720.55106974,0.01499961543472357605,0.01202277191259513872
GA,5655,209,2769,2124,2886,2509,61341647.108753315650,90937202.849125836391,0.08407310704960835509,0.09472422062350119904
GB,3387297,48725,314605,170022,3072692,2878268,655244089.46956821,756832647.83337543,0.00583052856089289725,0.00433049848422260313
GD,15677,971,4203,2465,11474,9935,274818173.68118900,267305992.25806452,0.06994416873449131514,0.07015143222039773764
GE,38259,1461,18448,15197,19811,19551,105548233.16866620,129310278.53113848,0.06804348590929880730,0.08403549325180821714
GF,17620,316,4272,3158,13348,12591,283870637.36662883,307614063.62308718,0.06224610142838422225,0.06532591641705890743
GG,3399,293,1010,216,2389,1205,216004727.97881730,307891476.98803659,0.04237608777903897087,0.00788022064617809299
GH,45410,1372,34156,30199,11254,14863,34042374.384496806871,66398545.719231281346,0.20537807246668006162,0.21223715316660445440
GI,3912,971,1318,637,2594,1905,285599573.00613497,353226618.41070024,0.01726519337016574586,0.01071602532878714077
GL,6880,733,5032,1230,1848,958,145364408.37209302,375110970.38391225,0.03403141361256544503,0.01373182552504038772
GM,28929,1088,20751,16713,8178,10142,67794420.491548273359,111235693.673431390802,0.13102810223198797271,0.16537205898908026568
GN,1980,113,1202,762,778,1115,61335098.181818181818,108422655.72722429,0.03888888888888888889,0.04253731343283582090
GP,51580,908,5350,3335,46230,35203,659755361.55098876,669943826.62307333,0.02910887800016609916,0.03020437197340702033
GQ,2879,90,1281,1159,1598,1662,72091871.899965265717,90248980.645161290323,0.21498829039812646370,0.18920187793427230047
GR,165158,7562,75485,47162,89673,91023,188910233.62356047,276554612.81036292,0.05428160661335250247,0.05597088611165966090
GS,14321,1107,11299,3805,3022,1338,48927051.239438586691,75121011.705230410266,0.20593616588737548282,0.31180199215212798068
GT,326561,7398,55506,43223,271055,281101,213223834.37091386,239758696.76989677,0.07380810882197569995,0.06087352078751701749
GU,5186,305,811,548,4375,2843,294812393.98380255,304395404.30551460,0.01281201678815992931,0.01224489795918367347
GW,3799,114,1044,501,2755,1979,196758453.90892340,299053045.16129032,0.00942170240415854451,0.02819548872180451128
GY,36934,1019,21993,19540,14941,15926,84815193.718524936373,122833059.71916765,0.32281019536809419071,0.32444805194805194805
HK,107224,3562,8460,5803,98764,82339,413692487.53264195,428634088.62971115,0.00680143397729535949,0.00695416950937795492
HM,25,11,25,11,0,0,518400.000000000000,204218.181818181818,,
HN,209322,4830,29906,19883,179416,172348,267171728.05916244,314393282.83159324,0.06664630266004836452,0.05090305733870090306
HR,62459,3951,22588,15606,39871,41726,233398577.11458717,290304503.34193818,0.03542889938634055892,0.03188380320376189325
HT,12019,768,1716,959,10303,10114,597961446.11032532,712367539.63695475,0.02345474613686534216,0.02377088305489260143
HU,88577,3978,19972,11819,68605,76758,506975024.36072570,611799082.79575962,0.01380768919901931729,0.01293254106955609927
ID,163417,5788,105712,82639,57705,59726,90702519.830862150205,117105202.38541776,0.13808175679553149569,0.14066668711092029808
IE,187516,8868,56019,31135,131497,112568,410816592.62356279,462217106.58232605,0.01453514882392968131,0.01152031012978257205
IL,362520,6782,39710,31680,322810,305318,588337120.15888779,604564209.41133182,0.02010069632965735359,0.02055205425818103742
IM,47594,325,1138,251,46456,33209,1070451191.59557927,1201953723.94500897,0.00197183702338341514,0.00093179837085575160
IN,4190547,60295,726279,496258,3464268,3629829,212640909.17772787,245427818.21827800,0.06624277043209738971,0.05000678751878137299
IO,806,33,113,30,693,525,723614149.87593052,837731286.48648649,0.01608579088471849866,0.00568181818181818182
IQ,4963,198,676,361,4287,4594,92519097.642554906307,111534396.44803229,0.00207421064761465776,0.00279931093884582257
IR,55776,981,11296,4516,44480,49180,183455395.86919105,239744202.26460072,0.07549527039086203819,0.03462234591207208610
IS,239190,8441,93481,64985,145709,127705,534988362.92487144,627855992.67631948,0.04136800687034469597,0.04185273033246319583
IT,305147,16903,109567,70544,195580,204582,242888882.10862306,310570714.59040585,0.01682659071426596245,0.01426596021412631262
JE,7381,271,727,215,6654,4107,623503557.34995258,722200248.03331791,0.00074593465612412353,0.00145313635262775490
