COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AR,2022,120384,3612,32988,18967,87396,93522,207682041.38755981,285189235.82572518,0.09410557645558153937,0.07866047282972287919
AR,2023,138413,4334,38629,22224,99784,105747,195086425.97443882,271555176.36964625,0.09535151116951379763,0.06927041228779304770
AR,2024,164457,5012,57595,36008,106862,116289,171025602.88950911,233296562.69000703,0.13204989343489046504,0.10661105675496168487
AR,2025,91190,3509,26467,14202,64723,69948,183689515.28895712,253300518.67379679,0.11192167646983932982,0.06612000520629962254
AS,2010,4,1,4,3,0,0,432000.000000000000,432000.000000000000,,
AS,2012,4,3,4,3,0,0,0.00000000000000000000,172800.000000000000,,
AS,2013,6,2,2,0,4,5,7200000.000000000000,10800000.000000000000,0.00000000000000000000,0.00000000000000000000
AS,2014,3,3,3,3,0,0,0.00000000000000000000,28800.000000000000,0.00000000000000000000,0.00000000000000000000
AS,2015,34,8,14,4,20,23,14815058.823529411765,22784000.000000000000,0.00000000000000000000,0.00000000000000000000
AS,2016,116,9,23,6,93,77,9566565.517241379310,10330525.301204819277,0.01041666666666666667,0.00000000000000000000
AS,2017,206,13,121,39,85,74,4159363.106796116505,5885904.424778761062,0.10526315789473684211,0.06329113924050632911
AS,2018,71,12,16,5,55,44,10831639.436619718310,11420669.387755102041,0.00000000000000000000,0.00000000000000000000
AS,2019,75,14,38,25,37,35,4769280.000000000000,7596000.000000000000,0.12765957446808510638,0.16666666666666666667
AS,2020,13,2,13,6,0,0,225969.230769230769,360000.000000000000,,
AS,2021,26,1,0,0,26,12,26265600.000000000000,26265600.000000000000,0.00000000000000000000,0.00000000000000000000
AS,2022,16,4,15,14,1,1,1846800.000000000000,2096640.000000000000,0.00000000000000000000,0.00000000000000000000
AS,2023,413,35,410,262,3,2,1535325.907990314770,3910254.545454545455,0.00000000000000000000,0.00000000000000000000
AS,2024,120,35,97,51,23,18,10787040.000000000000,13826504.347826086957,0.00000000000000000000,0.00000000000000000000
AS,2025,60,14,51,25,9,9,6009120.000000000000,10449317.647058823529,0.00000000000000000000,0.00000000000000000000
AT,2010,260,74,86,49,174,211,320291113.84615385,399362400.00000000,0.00000000000000000000,0.00000000000000000000
AT,2011,402,78,76,47,326,355,356915605.97014925,426252895.52238806,0.00000000000000000000,0.00000000000000000000
AT,2012,676,109,160,88,516,588,441675649.70414201,500926494.67455621,0.00749063670411985019,0.00834724540901502504
AT,2013,896,126,194,108,702,788,472577528.57142857,529168660.71428571,0.00275862068965517241,0.00000000000000000000
AT,2014,1013,165,434,321,579,692,310330462.38894373,367239063.37611056,0.00751879699248120301,0.19139297848244620612
AT,2015,1582,223,543,279,1039,1303,273477845.76485461,353650055.12010114,0.00684345594525235244,0.00957290132547864507
