COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
BJ,1217,115,613,324,604,890,75105951.027115858669,196149493.24546952,0.01923076923076923077,0.04383282364933741081
BL,623,161,326,155,297,308,102406050.72231140,217266142.54859611,0.00779220779220779221,0.01120448179271708683
BM,53764,1198,4039,896,49725,17559,699477617.85581430,697844742.86643186,0.00661391283807724105,0.00539477381286878337
BN,1818,256,840,625,978,1168,76928554.455445544554,121852093.25153374,0.01137357830271216098,0.01934984520123839009
BO,79880,2808,37438,29229,42442,50651,125898798.35753630,178150803.48522784,0.21014626635873749038,0.18720896391152502910
BQ,25953,1334,5472,3415,20481,18704,194260311.17789851,218317347.29418147,0.03735258508587058876,0.03232942832721604907
BR,1226449,18245,299468,211215,926981,997870,233150619.40806344,285894477.95647122,0.08774835641806466635,0.07437770965933683859
BS,81823,4994,25029,10799,56794,51988,210386581.76796255,280128802.71393760,0.08486193517218473059,0.05482491170154233889
BT,71378,1827,41418,36242,29960,35136,66421390.209868586960,99001513.474740116002,0.32526256314809890986,0.33295157595896377069
BV,10,3,10,7,0,0,1131840.000000000000,1123200.000000000000,,
BW,33741,2940,23696,19237,10045,14504,84961474.953320885569,155928956.41504401,0.10298018411608675300,0.11454774321165258047
BY,30417,535,2384,949,28033,29468,162871243.31788145,232275647.22359207,0.00730488273740868897,0.00216011880653435939
BZ,438610,9321,102257,83460,336353,340109,246759182.23113928,268478729.98448895,0.09849258226549445638,0.08743305805966807606
CA,14832100,128725,930960,525760,13901140,13509407,584098305.59006479,654700144.37739145,0.01184407039964395298,0.00785119887489679234
CC,1725,147,1212,695,513,351,57273883.826086956522,93547658.891013384321,0.18738049713193116635,0.19760479041916167665
CD,8835,371,1715,1104,7120,7729,124560224.92359932,202565675.44435639,0.01075409836065573770,0.01805589908483799159
CF,1769,67,294,182,1475,1587,65485192.538157150933,157805472.92255512,0.00000000000000000000,0.00062500000000000000
CG,3323,111,909,706,2414,2608,244707836.53325308,272404078.69643935,0.04583333333333333333,0.03992869875222816399
CH,169664,8537,29862,19643,139802,150021,359476408.11014711,439612271.12410411,0.00813933436799448181,0.00552605138510119133
CI,3392,234,1463,1020,1929,2348,60572156.603773584906,93595108.788598574822,0.04793608521970705726,0.03378640776699029126
CK,1612,287,1403,688,209,141,20807606.947890818859,16131474.065138721351,0.00408163265306122449,0.00427350427350427350
CL,812431,16855,165294,94633,647137,636100,216710007.44777095,294381789.41966491,0.07093610171341263778,0.04751145751233324576
CM,5901,263,2921,2446,2980,3246,111649268.93746823,152599765.00351370,0.08767535070140280561,0.07894736842105263158
CN,292461,7867,109803,71548,182658,192843,102273215.407182496128,134567435.14567440,0.06501030733370161279,0.06047465146618301491
CO,1340823,31866,362159,286479,978664,1036705,156158797.24974885,179171652.75033555,0.13095269460289022671,0.11143508611233801476
CP,22,5,22,,0,,1201745.454545454545,,,
CR,1401901,37413,470333,392000,931568,948481,193319652.18770798,207434523.61831313,0.12500434036967246088,0.11450594008688343470
CS,114,61,101,,13,,3910736.842105263158,,0.02702702702702702703,
CU,142642,4764,78942,64232,63700,64149,108285096.61950898,139538741.11589721,0.27657009956625442446,0.27488435374149659864
CV,6971,554,5784,3673,1187,1314,27194210.988380433223,44306273.430920393022,0.07664335664335664336,0.08868940754039497307
CW,22205,1376,5566,4063,16639,15312,243108965.94460707,248966088.34064516,0.03834111507827519912,0.03476407914764079148
